Det_holding_cost	Det_fill_rate_service_level	2SS_holding_cost	2SS_fill_rate_service_level	cover_size_holding_cost	cover_size_fill_rate_service_level	lot_size_holding_cost	lot_size_fill_rate_service_level	AVG_Det_holding_cost	AVG_Det_fill_rate_service_level	AVG_2SS_holding_cost	AVG_2SS_fill_rate_service_level	AVG_cover_size_holding_cost	AVG_cover_size_fill_rate_service_level	AVG_lot_size_holding_cost	AVG_lot_size_fill_rate_service_level
212.55	83.87	140.53	73.98	245.18	66.21	430.43	76.04	260.66	83.29	197.66	79.59	376.56	67.25	810.35	81.21
214.50	82.26	145.34	79.96	256.10	69.16	562.12	76.76								
215.80	80.64	148.46	78.83	271.05	63.02	622.18	81.41								
218.53	84.50	152.23	77.54	277.55	64.70	630.24	77.07								
220.61	77.92	157.82	78.19	295.10	65.89	655.72	77.57								
221.91	78.61	178.36	76.00	316.42	71.98	663.52	76.45								
223.08	83.67	178.49	77.43	324.22	68.93	677.17	79.23								
223.47	80.83	180.31	79.69	325.00	63.66	695.11	78.11								
226.46	83.02	180.44	81.31	326.17	67.16	704.34	81.73								
238.29	78.97	185.25	81.79	327.60	62.17	732.42	80.60								
254.67	84.24	189.15	78.05	342.81	73.01	735.67	81.37								
255.32	82.98	190.19	77.98	343.20	65.27	741.52	83.16								
255.45	78.82	192.66	79.19	346.06	72.05	766.48	81.23								
257.92	84.22	193.83	79.62	347.49	66.82	782.86	81.45								
258.70	84.51	196.43	82.06	357.11	69.37	796.90	80.28								
260.39	82.38	199.55	81.71	375.18	71.59	821.21	81.78								
262.60	84.52	202.54	78.02	379.73	65.71	826.15	82.54								
267.02	82.67	206.83	80.41	384.02	66.96	831.22	81.45								
268.19	85.03	208.39	74.85	387.40	64.20	834.60	80.87								
271.57	82.10	208.91	80.39	388.83	67.72	835.77	85.56								
271.70	81.70	211.38	79.66	413.01	67.23	889.98	86.27								
273.65	82.89	214.76	82.93	426.01	65.15	906.88	84.61								
275.08	84.87	215.02	78.96	429.78	65.04	919.10	81.28								
282.49	86.89	222.04	78.75	435.76	67.19	945.49	81.60								
283.40	86.02	225.81	82.96	437.19	70.28	972.14	82.57								
288.86	88.61	228.67	79.52	446.68	69.34	996.58	83.03								
301.99	82.99	232.70	80.92	472.68	63.73	1037.53	82.10								
310.31	86.42	240.37	83.06	475.80	69.89	1051.83	84.39								
330.72	86.53	243.62	81.83	500.11	67.45	1116.57	82.66								
374.53	86.10	259.61	82.18	643.63	66.61	1128.79	83.02								
